,Z,N,A,half_life,half_life_unit,half_life_type,br_alpha,br_alpha_type,half_life_alpha,half_life_alpha_unit,Q_alpha,Q_alpha_unit
141Gd,64,77,141,17,s,symmetric,,,,,2.3425086999999998,MeV
145Gd,64,81,145,23.2,m,symmetric,,,,,0.5824179,MeV
144Gd,64,80,144,4.48,m,symmetric,,,,,1.2715182999999999,MeV
147Gd,64,83,147,38.06,h,symmetric,,,,,1.7352911,MeV
146Gd,64,82,146,48.27,d,symmetric,,,,,0.4711904,MeV
149Gd,64,85,149,9.28,d,symmetric,0.00042,symmetric,190902857142.85712,s,3.0993183,MeV
148Gd,64,84,148,86.9,y,symmetric,100.0,unreported,2742355440.0,s,3.2712911,MeV
151Gd,64,87,151,124.5,d,symmetric,8e-07,approximation,1344600000000000.2,s,2.6522117,MeV
150Gd,64,86,150,1786800,y,symmetric,100.0,unreported,56387119680000.0,s,2.8073935000000003,MeV
153Gd,64,89,153,240.41,d,symmetric,,,,,1.8280382,MeV
152Gd,64,88,152,108000000000000,y,symmetric,100.0,unreported,3.4082208e+21,s,2.2038471,MeV
154Gd,64,90,154,STABLE,,,,,,,0.9200617,MeV
156Gd,64,92,156,STABLE,,,,,,,-0.19727180000000002,MeV
155Gd,64,91,155,STABLE,,,,,,,0.0812659,MeV
158Gd,64,94,158,STABLE,,,,,,,-0.6593217,MeV
157Gd,64,93,157,STABLE,,,,,,,-0.6887523,MeV
160Gd,64,96,160,STABLE,,,,,,,-1.0062406,MeV
159Gd,64,95,159,18.479,h,symmetric,,,,,-0.7955676,MeV
162Gd,64,98,162,8.39,m,symmetric,,,,,-1.4537869,MeV
161Gd,64,97,161,3.66,m,symmetric,,,,,-1.2534041,MeV
163Gd,64,99,163,68,s,symmetric,,,,,-1.6056573,MeV
168Gd,64,104,168,3.02,s,symmetric,,,,,-2.649,MeV
167Gd,64,103,167,4.26,s,asymmetric,,,,,-2.6010362000000002,MeV
166Gd,64,102,166,5,s,symmetric,,,,,-2.4167885,MeV
165Gd,64,101,165,11.6,s,symmetric,,,,,-2.2786545,MeV
164Gd,64,100,164,45,s,symmetric,,,,,-1.885431,MeV
172Gd,64,108,172,0.163,s,asymmetric,,,,,-3.755,MeV
171Gd,64,107,171,0.392,s,asymmetric,,,,,-3.305,MeV
170Gd,64,106,170,0.616,s,symmetric,,,,,-2.825,MeV
169Gd,64,105,169,0.892,s,asymmetric,,,,,-2.805,MeV
166Tb,65,101,166,27.1,s,symmetric,,,,,-1.5107496,MeV
165Tb,65,100,165,2.11,m,symmetric,,,,,-1.2221641,MeV
168Tb,65,103,168,9.4,s,symmetric,,,,,-1.9739511,MeV
167Tb,65,102,167,18.9,s,symmetric,,,,,-1.7341794,MeV
174Tb,65,109,174,,,,,,,,-3.5340000000000003,MeV
173Tb,65,108,173,,,,,,,,-3.274,MeV
170Tb,65,105,170,0.96,s,symmetric,,,,,-2.386,MeV
169Tb,65,104,169,5.13,s,symmetric,,,,,-2.176,MeV
172Tb,65,107,172,0.76,s,symmetric,,,,,-2.865,MeV
171Tb,65,106,171,1.24,s,asymmetric,,,,,-2.4250000000000003,MeV
145Tb,65,80,145,30.9,s,symmetric,,,,,1.1010382,MeV
147Tb,65,82,147,1.64,h,symmetric,,,,,1.0737214,MeV
146Tb,65,81,146,8,s,symmetric,,,,,1.1203696,MeV
149Tb,65,84,149,4.12,h,symmetric,16.7,symmetric,88814.37125748504,s,4.0779687,MeV
148Tb,65,83,148,60,m,symmetric,,,,,2.6573119000000003,MeV
151Tb,65,86,151,17.609,h,symmetric,0.0095,symmetric,667288421.0526317,s,3.4961546,MeV
150Tb,65,85,150,3.48,h,symmetric,,,,,3.5868983,MeV
153Tb,65,88,153,2.34,d,symmetric,,,,,2.7027909,MeV
152Tb,65,87,152,17.48,h,symmetric,,,,,3.1552627,MeV
154Tb,65,89,154,21.5,h,symmetric,,,,,2.210747,MeV
156Tb,65,91,156,5.35,d,symmetric,,,,,0.3725738,MeV
155Tb,65,90,155,5.32,d,symmetric,,,,,0.9777429,MeV
158Tb,65,93,158,180,y,symmetric,,,,,-0.1574324,MeV
157Tb,65,92,157,71,y,symmetric,,,,,0.1787023,MeV
160Tb,65,95,160,72.3,d,symmetric,,,,,-0.1785453,MeV
159Tb,65,94,159,STABLE,,,,,,,-0.13916050000000002,MeV
162Tb,65,97,162,7.6,m,symmetric,,,,,-1.0340023,MeV
161Tb,65,96,161,6.9584,d,symmetric,,,,,-0.4275592,MeV
164Tb,65,99,164,3,m,symmetric,,,,,-1.0364506,MeV
163Tb,65,98,163,19.5,m,symmetric,,,,,-0.9772839,MeV
136Tb,65,71,136,,,,,,,,3.876,MeV
135Tb,65,70,135,0.94,ms,asymmetric,,,,,3.986,MeV
138Tb,65,73,138,,,,,,,,3.775,MeV
137Tb,65,72,137,,,,,,,,3.844,MeV
140Tb,65,75,140,2.3,s,symmetric,,,,,3.336,MeV
139Tb,65,74,139,1.6,s,symmetric,,,,,3.593,MeV
142Tb,65,77,142,597,ms,symmetric,,,,,2.7652376,MeV
141Tb,65,76,141,3.5,s,symmetric,,,,,3.180145,MeV
144Tb,65,79,144,1,s,approximation,,,,,2.1928419,MeV
143Tb,65,78,143,12,s,symmetric,,,,,2.5539432000000004,MeV
138Dy,66,72,138,,,,,,,,4.174,MeV
141Dy,66,75,141,1,s,symmetric,,,,,3.406,MeV
142Dy,66,76,142,2.3,s,symmetric,,,,,3.115,MeV
139Dy,66,73,139,0.6,s,symmetric,,,,,4.124,MeV
140Dy,66,74,140,,,,,,,,3.835,MeV
145Dy,66,79,145,9.5,s,symmetric,,,,,2.5567073999999996,MeV
143Dy,66,77,143,4.3,s,symmetric,,,,,3.0380000000000003,MeV
144Dy,66,78,144,9.1,s,symmetric,,,,,2.7872709,MeV
148Dy,66,82,148,3.2,m,symmetric,,,,,1.4751987,MeV
149Dy,66,83,149,4.2,m,symmetric,,,,,2.8077196,MeV
146Dy,66,80,146,33.2,s,symmetric,,,,,1.9796787,MeV
147Dy,66,81,147,67,s,symmetric,,,,,1.610348,MeV
152Dy,66,86,152,2.38,h,symmetric,0.1,symmetric,8568000.0,s,3.7265401000000002,MeV
153Dy,66,87,153,6.42,h,symmetric,0.0094,symmetric,245872340.4255319,s,3.5590607,MeV
150Dy,66,84,150,7.17,m,symmetric,37.0,symmetric,1162.7027027027027,s,4.3512892,MeV
151Dy,66,85,151,18,m,symmetric,5.6,symmetric,19285.714285714286,s,4.179623899999999,MeV
154Dy,66,88,154,2750000,y,symmetric,100.0,unreported,86783400000000.0,s,2.9451204,MeV
155Dy,66,89,155,9.92,h,symmetric,,,,,2.6080650999999997,MeV
156Dy,66,90,156,STABLE,,,,,,,1.7530013,MeV
159Dy,66,93,159,145.3,d,symmetric,,,,,0.478162,MeV
160Dy,66,94,160,STABLE,,,,,,,0.4379921,MeV
157Dy,66,91,157,8.14,h,symmetric,,,,,1.0333589,MeV
158Dy,66,92,158,STABLE,,,,,,,0.8742903,MeV
163Dy,66,97,163,STABLE,,,,,,,-0.2439163,MeV
164Dy,66,98,164,STABLE,,,,,,,-0.45050470000000004,MeV
161Dy,66,95,161,STABLE,,,,,,,0.3434857,MeV
162Dy,66,96,162,STABLE,,,,,,,0.0838841,MeV
165Dy,66,99,165,2.331,h,symmetric,,,,,-0.5310627,MeV
176Dy,66,110,176,,,,,,,,-3.065,MeV
168Dy,66,102,168,8.7,m,symmetric,,,,,-1.2896262,MeV
167Dy,66,101,167,6.2,m,symmetric,,,,,-0.947776,MeV
166Dy,66,100,166,81.63,h,symmetric,,,,,-0.7286663999999999,MeV
172Dy,66,106,172,3.52,s,symmetric,,,,,-2.035,MeV
171Dy,66,105,171,4.1,s,symmetric,,,,,-1.659,MeV
170Dy,66,104,170,55,s,symmetric,,,,,-1.764,MeV
169Dy,66,103,169,39,s,symmetric,,,,,-1.4951435,MeV
175Dy,66,109,175,,,,,,,,-2.945,MeV
174Dy,66,108,174,,,,,,,,-2.705,MeV
173Dy,66,107,173,1.43,s,symmetric,,,,,-2.275,MeV
140Ho,67,73,140,6,ms,symmetric,,,,,4.157,MeV
143Ho,67,76,143,,,,,,,,3.658,MeV
144Ho,67,77,144,0.7,s,symmetric,,,,,3.4478415,MeV
141Ho,67,74,141,4.1,ms,symmetric,,,,,4.178,MeV
142Ho,67,75,142,0.4,s,symmetric,,,,,3.9250000000000003,MeV
145Ho,67,78,145,2.4,s,symmetric,,,,,2.9958137000000002,MeV
146Ho,67,79,146,3.3,s,symmetric,,,,,2.8963793,MeV
147Ho,67,80,147,5.8,s,symmetric,,,,,2.2371754999999998,MeV
150Ho,67,83,150,77,s,symmetric,,,,,3.3928365,MeV
151Ho,67,84,151,35.2,s,symmetric,22.0,symmetric,160.0,s,4.6950117,MeV
148Ho,67,81,148,2.2,s,symmetric,,,,,1.9521054999999998,MeV
149Ho,67,82,149,21,s,symmetric,,,,,2.3289233,MeV
154Ho,67,87,154,11.76,m,symmetric,0.018,symmetric,3920000.0,s,4.0414946,MeV
155Ho,67,88,155,48,m,symmetric,,,,,3.1588259,MeV
152Ho,67,85,152,147,s,symmetric,12.0,symmetric,1225.0,s,4.507395300000001,MeV
153Ho,67,86,153,2.01,m,symmetric,0.051,symmetric,236470.58823529413,s,4.0516499,MeV
156Ho,67,89,156,56,m,symmetric,,,,,2.7539849,MeV
157Ho,67,90,157,12.7,m,symmetric,,,,,2.0558317,MeV
158Ho,67,91,158,11.3,m,symmetric,,,,,1.5443943,MeV
161Ho,67,94,161,2.48,h,symmetric,,,,,1.1426386,MeV
162Ho,67,95,162,15,m,symmetric,,,,,1.0054047000000002,MeV
159Ho,67,92,159,33.05,m,symmetric,,,,,1.4959032,MeV
160Ho,67,93,160,25.6,m,symmetric,,,,,1.2836691,MeV
165Ho,67,98,165,STABLE,,,,,,,0.1388443,MeV
166Ho,67,99,166,26.808,h,symmetric,,,,,0.384293,MeV
163Ho,67,96,163,4570,y,symmetric,,,,,0.7296389000000001,MeV
164Ho,67,97,164,28.8,m,symmetric,,,,,0.4310405,MeV
168Ho,67,101,168,2.99,m,symmetric,,,,,-0.3791637,MeV
167Ho,67,100,167,2.9675,h,symmetric,,,,,-0.1086208,MeV
170Ho,67,103,170,2.76,m,symmetric,,,,,-0.8536521,MeV
169Ho,67,102,169,4.7,m,symmetric,,,,,-0.6320761,MeV
172Ho,67,105,172,25,s,symmetric,,,,,-1.127,MeV
171Ho,67,104,171,53,s,symmetric,,,,,-1.0596558,MeV
174Ho,67,107,174,3.5,s,symmetric,,,,,-1.585,MeV
173Ho,67,106,173,7.1,s,symmetric,,,,,-1.295,MeV
176Ho,67,109,176,,,,,,,,-2.125,MeV
175Ho,67,108,175,1.9,s,symmetric,,,,,-1.955,MeV
177Ho,67,110,177,,,,,,,,-2.195,MeV
178Ho,67,111,178,,,,,,,,-2.585,MeV
176Er,68,108,176,,,,,,,,-1.296,MeV
175Er,68,107,175,1.2,m,symmetric,,,,,-1.067,MeV
174Er,68,106,174,3.2,m,symmetric,,,,,-0.664,MeV
173Er,68,105,173,1.4,m,symmetric,,,,,-0.483,MeV
172Er,68,104,172,49.3,h,symmetric,,,,,-0.34909629999999997,MeV
171Er,68,103,171,7.516,h,symmetric,,,,,-0.23128710000000002,MeV
170Er,68,102,170,STABLE,,,,,,,0.0520409,MeV
169Er,68,101,169,9.39,d,symmetric,,,,,0.2662097,MeV
168Er,68,100,168,STABLE,,,,,,,0.5535017,MeV
177Er,68,109,177,,,,,,,,-1.543,MeV
180Er,68,112,180,,,,,,,,-1.995,MeV
179Er,68,111,179,,,,,,,,-1.7750000000000001,MeV
178Er,68,110,178,,,,,,,,-1.555,MeV
142Er,68,74,142,,,,,,,,4.5760000000000005,MeV
146Er,68,78,146,1.7,s,symmetric,,,,,3.373,MeV
145Er,68,77,145,0.9,s,symmetric,,,,,3.717,MeV
144Er,68,76,144,,,,,,,,3.797,MeV
143Er,68,75,143,,,,,,,,4.115,MeV
147Er,68,79,147,3.2,s,symmetric,,,,,3.1362191,MeV
149Er,68,81,149,4,s,symmetric,,,,,2.0760708,MeV
148Er,68,80,148,4.6,s,symmetric,,,,,2.6661783,MeV
153Er,68,85,153,37.1,s,symmetric,53.0,symmetric,70.0,s,4.8023924,MeV
152Er,68,84,152,10.2,s,symmetric,90.0,symmetric,11.333333333333332,s,4.9342625,MeV
151Er,68,83,151,23.5,s,symmetric,,,,,3.504841,MeV
150Er,68,82,150,18.7,s,symmetric,,,,,2.2986889,MeV
157Er,68,89,157,18.65,m,symmetric,,,,,3.3046329,MeV
156Er,68,88,156,19.5,m,symmetric,1.2e-05,symmetric,9749999999.999998,s,3.4813646,MeV
155Er,68,87,155,5.3,m,symmetric,0.022,symmetric,1445454.5454545454,s,4.1183002,MeV
154Er,68,86,154,3.73,m,symmetric,0.47,symmetric,47617.021276595755,s,4.2797284,MeV
160Er,68,92,160,28.58,h,symmetric,,,,,2.0402941,MeV
159Er,68,91,159,36,m,symmetric,,,,,2.1699032000000003,MeV
158Er,68,90,158,2.26,h,symmetric,,,,,2.6652835,MeV
164Er,68,96,164,STABLE,,,,,,,1.3049362000000002,MeV
163Er,68,95,163,75,m,symmetric,,,,,1.5748916,MeV
162Er,68,94,162,STABLE,,,,,,,1.6480256,MeV
161Er,68,93,161,3.21,h,symmetric,,,,,1.7984549,MeV
167Er,68,99,167,STABLE,,,,,,,0.6666862,MeV
166Er,68,98,166,STABLE,,,,,,,0.8321090000000001,MeV
165Er,68,97,165,10.36,h,symmetric,,,,,1.1092257,MeV
144Tm,69,75,144,1.9,us,asymmetric,,,,,4.7330000000000005,MeV
148Tm,69,79,148,0.7,s,symmetric,,,,,3.4195708000000002,MeV
147Tm,69,78,147,0.58,s,symmetric,,,,,3.648,MeV
146Tm,69,77,146,155,ms,symmetric,,,,,3.77,MeV
145Tm,69,76,145,3.16,us,symmetric,,,,,4.357,MeV
151Tm,69,82,151,4.17,s,symmetric,,,,,2.5605718000000004,MeV
150Tm,69,81,150,2.2,s,symmetric,,,,,2.322,MeV
149Tm,69,80,149,0.9,s,symmetric,,,,,2.755,MeV
155Tm,69,86,155,21.6,s,symmetric,0.83,symmetric,2602.409638554217,s,4.571909,MeV
154Tm,69,85,154,8.1,s,symmetric,54.0,symmetric,14.999999999999998,s,5.0938336,MeV
153Tm,69,84,153,1.48,s,symmetric,91.0,symmetric,1.6263736263736264,s,5.2483281,MeV
152Tm,69,83,152,5.2,s,symmetric,,,,,3.8459718,MeV
158Tm,69,89,158,3.98,m,symmetric,,,,,3.5112624,MeV
157Tm,69,88,157,3.63,m,symmetric,0.00075,symmetric,29040000.0,s,3.877879,MeV
156Tm,69,87,156,83,s,symmetric,0.064,symmetric,129687.49999999999,s,4.345302800000001,MeV
162Tm,69,93,162,21.8,m,symmetric,,,,,2.2849983000000003,MeV
161Tm,69,92,161,30.2,m,symmetric,,,,,2.5092319,MeV
160Tm,69,91,160,9.4,m,symmetric,,,,,2.8124499999999997,MeV
159Tm,69,90,159,9.13,m,symmetric,,,,,3.0444789,MeV
166Tm,69,97,166,7.7,h,symmetric,,,,,1.7291689,MeV
165Tm,69,96,165,30.06,h,symmetric,,,,,1.8413536,MeV
164Tm,69,95,164,1.95,m,symmetric,,,,,2.0485664000000003,MeV
163Tm,69,94,163,1.81,h,symmetric,,,,,2.1762916,MeV
168Tm,69,99,168,93.1,d,symmetric,,,,,1.2432228,MeV
167Tm,69,98,167,9.28,d,symmetric,,,,,1.4099944,MeV
178Tm,69,109,178,,,,,,,,-0.796,MeV
177Tm,69,108,177,95,s,symmetric,,,,,-0.644,MeV
174Tm,69,105,174,5.4,m,symmetric,,,,,-0.051922800000000005,MeV
173Tm,69,104,173,8.24,h,symmetric,,,,,0.1150265,MeV
176Tm,69,107,176,1.853,m,symmetric,,,,,-0.313,MeV
175Tm,69,106,175,15.2,m,symmetric,,,,,-0.2176501,MeV
170Tm,69,101,170,128.4,d,symmetric,,,,,0.850109,MeV
169Tm,69,100,169,STABLE,,,,,,,1.1984473,MeV
172Tm,69,103,172,63.6,h,symmetric,,,,,0.2607614,MeV
171Tm,69,102,171,701.5,d,symmetric,,,,,0.6442715,MeV
181Tm,69,112,181,,,,,,,,-1.585,MeV
180Tm,69,111,180,,,,,,,,-1.205,MeV
182Tm,69,113,182,,,,,,,,-1.7850000000000001,MeV
179Tm,69,110,179,,,,,,,,-1.026,MeV
183Tm,69,114,183,,,,,,,,,
149Yb,70,79,149,0.7,s,symmetric,,,,,3.485,MeV
148Yb,70,78,148,,,,,,,,3.9530000000000003,MeV
159Yb,70,89,159,1.73,m,symmetric,,,,,3.9507391,MeV
156Yb,70,86,156,25,s,symmetric,10.0,symmetric,250.0,s,4.8097648,MeV
155Yb,70,85,155,1.79,s,symmetric,89.0,symmetric,2.0112359550561796,s,5.3387604,MeV
158Yb,70,88,158,1.49,m,symmetric,0.0021,symmetric,4257142.857142857,s,4.1704374,MeV
157Yb,70,87,157,38.6,s,symmetric,,,,,4.6218539000000005,MeV
152Yb,70,82,152,3.1,s,symmetric,,,,,2.7836948,MeV
151Yb,70,81,151,1.6,s,symmetric,,,,,2.6405464000000003,MeV
154Yb,70,84,154,409,ms,symmetric,92.6,symmetric,0.4416846652267819,s,5.4743142,MeV
153Yb,70,83,153,4.2,s,symmetric,,,,,4.157,MeV
150Yb,70,80,150,,,,,,,,3.067,MeV
167Yb,70,97,167,17.5,m,symmetric,,,,,2.1525966,MeV
166Yb,70,96,166,56.7,h,symmetric,,,,,2.3155881,MeV
169Yb,70,99,169,32.015,d,symmetric,,,,,1.7209095,MeV
168Yb,70,98,168,STABLE,,,,,,,1.9377907,MeV
163Yb,70,93,163,11.05,m,symmetric,,,,,2.8423261,MeV
162Yb,70,92,162,18.89,m,symmetric,,,,,3.0577361,MeV
165Yb,70,95,165,9.8,m,symmetric,,,,,2.4809947,MeV
164Yb,70,94,164,75.8,m,symmetric,,,,,2.6270899,MeV
161Yb,70,91,161,4.2,m,symmetric,,,,,3.1544838,MeV
160Yb,70,90,160,4.8,m,symmetric,,,,,3.62354,MeV
171Yb,70,101,171,STABLE,,,,,,,1.5575217000000001,MeV
170Yb,70,100,170,STABLE,,,,,,,1.7353,MeV
182Yb,70,112,182,,,,,,,,-1.065,MeV
181Yb,70,111,181,,,,,,,,-0.655,MeV
180Yb,70,110,180,2.4,m,symmetric,,,,,-0.514,MeV
175Yb,70,105,175,4.1615,d,symmetric,,,,,0.5973499000000001,MeV
174Yb,70,104,174,STABLE,,,,,,,0.7380772,MeV
173Yb,70,103,173,STABLE,,,,,,,0.9450130000000001,MeV
172Yb,70,102,172,STABLE,,,,,,,1.308859,MeV
179Yb,70,109,179,8,m,symmetric,,,,,-0.41300000000000003,MeV
178Yb,70,108,178,74,m,symmetric,,,,,-0.153,MeV
177Yb,70,107,177,1.911,h,symmetric,,,,,0.243,MeV
176Yb,70,106,176,STABLE,,,,,,,0.5663400000000001,MeV
185Yb,70,115,185,,,,,,,,,
184Yb,70,114,184,,,,,,,,-1.846,MeV
183Yb,70,113,183,,,,,,,,-1.345,MeV
186Yb,70,116,186,,,,,,,,,
187Yb,70,117,187,,,,,,,,,
173Lu,71,102,173,1.37,y,symmetric,,,,,1.9687241,MeV
172Lu,71,101,172,6.702,d,symmetric,,,,,2.1513869,MeV
175Lu,71,104,175,STABLE,,,,,,,1.619677,MeV
174Lu,71,103,174,3.31,y,symmetric,,,,,1.8001061999999999,MeV
177Lu,71,106,177,6.6472,d,symmetric,,,,,1.4472487,MeV
176Lu,71,105,176,37142795493,y,symmetric,,,,,1.566305,MeV
179Lu,71,108,179,4.59,h,symmetric,,,,,0.8266276,MeV
178Lu,71,107,178,28.4,m,symmetric,,,,,1.1017242,MeV
180Lu,71,109,180,5.6,m,symmetric,,,,,0.2699306,MeV
182Lu,71,111,182,2,m,symmetric,,,,,0.045,MeV
181Lu,71,110,181,3.5,m,symmetric,,,,,0.34700000000000003,MeV
171Lu,71,100,171,8.25,d,symmetric,,,,,2.2897352,MeV
184Lu,71,113,184,19,s,symmetric,,,,,-0.555,MeV
183Lu,71,112,183,58,s,symmetric,,,,,-0.241,MeV
186Lu,71,115,186,,,,,,,,-1.2550000000000001,MeV
185Lu,71,114,185,,,,,,,,-0.9460000000000001,MeV
188Lu,71,117,188,,,,,,,,,
187Lu,71,116,187,,,,,,,,,
158Lu,71,87,158,10.6,s,symmetric,0.91,symmetric,1164.8351648351647,s,4.790026,MeV
157Lu,71,86,157,7.6,s,asymmetric,0.0,limit,,,5.1078759,MeV
160Lu,71,89,160,36.1,s,symmetric,0.0001,limit,36100000.0,s,4.1395589,MeV
159Lu,71,88,159,12.1,s,symmetric,,,,,4.4923962,MeV
154Lu,71,83,154,,,,,,,,4.399,MeV
153Lu,71,82,153,0.9,s,symmetric,,,,,3.14,MeV
156Lu,71,85,156,494,ms,symmetric,100.0,approximation,0.494,s,5.595813000000001,MeV
155Lu,71,84,155,67,ms,symmetric,88.0,symmetric,0.07613636363636364,s,5.8016414,MeV
152Lu,71,81,152,650,ms,symmetric,,,,,2.918,MeV
151Lu,71,80,151,79,ms,symmetric,,,,,3.249,MeV
169Lu,71,98,169,34.06,h,symmetric,,,,,2.4225813,MeV
168Lu,71,97,168,5.5,m,symmetric,,,,,2.4111956,MeV
170Lu,71,99,170,2.01,d,symmetric,,,,,2.1553283000000003,MeV
165Lu,71,94,165,10.74,m,symmetric,,,,,3.0315512,MeV
164Lu,71,93,164,3.15,m,symmetric,,,,,3.2337455,MeV
167Lu,71,96,167,52,m,symmetric,,,,,2.7772156,MeV
166Lu,71,95,166,2.65,m,symmetric,,,,,3.0315796,MeV
161Lu,71,90,161,77,s,symmetric,,,,,3.7220137,MeV
163Lu,71,92,163,4.01,m,symmetric,,,,,3.3540735,MeV
162Lu,71,91,162,1.37,m,symmetric,,,,,3.4465252,MeV
150Lu,71,79,150,45,ms,symmetric,,,,,3.859,MeV
149Lu,71,78,149,,,,,,,,,
189Lu,71,118,189,,,,,,,,,
190Lu,71,119,190,,,,,,,,,
161Hf,72,89,161,18.4,s,symmetric,0.3,symmetric,6133.333333333333,s,4.6791789,MeV
159Hf,72,87,159,5.2,s,symmetric,12.0,symmetric,43.333333333333336,s,5.225092,MeV
160Hf,72,88,160,13.6,s,symmetric,0.7,symmetric,1942.8571428571431,s,4.9018746,MeV
157Hf,72,85,157,115,ms,symmetric,94.0,symmetric,0.1223404255319149,s,5.8800072000000005,MeV
158Hf,72,86,158,2.9,s,symmetric,44.3,symmetric,6.54627539503386,s,5.404777500000001,MeV
155Hf,72,83,155,840,ms,symmetric,,,,,4.808,MeV
156Hf,72,84,156,23,ms,symmetric,100.0,approximation,0.023,s,6.0259559000000005,MeV
153Hf,72,81,153,60,ns,limit,,,,,3.605,MeV
154Hf,72,82,154,2,s,symmetric,0.0,approximation,,,3.6750000000000003,MeV
170Hf,72,98,170,16.01,h,symmetric,,,,,2.9149303,MeV
171Hf,72,99,171,12.1,h,symmetric,,,,,2.7336334000000004,MeV
168Hf,72,96,168,25.95,m,symmetric,,,,,3.2266973,MeV
169Hf,72,97,169,3.25,m,symmetric,,,,,3.1535769,MeV
166Hf,72,94,166,6.77,m,symmetric,,,,,3.5372584000000002,MeV
167Hf,72,95,167,2.05,m,symmetric,,,,,3.4012009,MeV
164Hf,72,92,164,111,s,symmetric,,,,,3.9199548,MeV
165Hf,72,93,165,76,s,symmetric,,,,,3.7738196,MeV
162Hf,72,90,162,38.7,s,symmetric,0.008,symmetric,483750.0,s,4.4162789,MeV
163Hf,72,91,163,40,s,symmetric,,,,,4.139281,MeV
181Hf,72,109,181,42.39,d,symmetric,,,,,1.1585306,MeV
180Hf,72,108,180,STABLE,,,,,,,1.2869306,MeV
179Hf,72,107,179,STABLE,,,,,,,1.8076045,MeV
178Hf,72,106,178,STABLE,,,,,,,2.0842391,MeV
177Hf,72,105,177,STABLE,,,,,,,2.2455731,MeV
176Hf,72,104,176,STABLE,,,,,,,2.2541128,MeV
175Hf,72,103,175,70.67,d,symmetric,,,,,2.4001392,MeV
174Hf,72,102,174,70000000000000000,y,symmetric,100.0,unreported,2.209032e+24,s,2.4944298,MeV
173Hf,72,101,173,23.6,h,symmetric,,,,,2.5388216000000003,MeV
172Hf,72,100,172,1.87,y,symmetric,,,,,2.7527192,MeV
182Hf,72,110,182,8900000,y,symmetric,,,,,1.2025871,MeV
190Hf,72,118,190,,,,,,,,,
189Hf,72,117,189,,,,,,,,-1.095,MeV
188Hf,72,116,188,,,,,,,,-0.654,MeV
187Hf,72,115,187,,,,,,,,-0.425,MeV
186Hf,72,114,186,2.6,m,symmetric,,,,,0.051000000000000004,MeV
185Hf,72,113,185,3.5,m,symmetric,,,,,0.343,MeV
184Hf,72,112,184,4.12,h,symmetric,,,,,0.796,MeV
183Hf,72,111,183,1.019,h,symmetric,,,,,0.931,MeV
191Hf,72,119,191,,,,,,,,,
192Hf,72,120,192,,,,,,,,,
161Ta,73,88,161,,,,,,,,5.2363268,MeV
162Ta,73,89,162,3.56,s,symmetric,0.074,symmetric,4810.810810810811,s,5.0058799,MeV
159Ta,73,86,159,1.04,s,symmetric,34.0,symmetric,3.0588235294117645,s,5.680983400000001,MeV
160Ta,73,87,160,1.55,s,symmetric,0.0,limit,,,5.4509341000000004,MeV
157Ta,73,84,157,10.2,ms,symmetric,96.6,symmetric,0.010559006211180125,s,6.3545986999999995,MeV
158Ta,73,85,158,49,ms,symmetric,100.0,approximation,0.049,s,6.1236044000000005,MeV
155Ta,73,82,155,2.9,ms,asymmetric,,,,,3.887,MeV
156Ta,73,83,156,106,ms,symmetric,,,,,4.996,MeV
172Ta,73,99,172,36.8,m,symmetric,,,,,3.3179331000000003,MeV
170Ta,73,97,170,6.76,m,symmetric,,,,,3.4584009,MeV
171Ta,73,98,171,23.3,m,symmetric,,,,,3.3810868999999997,MeV
168Ta,73,95,168,2,m,symmetric,,,,,3.8235466000000002,MeV
169Ta,73,96,169,4.9,m,symmetric,,,,,3.7268966,MeV
166Ta,73,93,166,34.4,s,symmetric,,,,,4.309063,MeV
167Ta,73,94,167,80,s,symmetric,,,,,4.0154344,MeV
164Ta,73,91,164,14.2,s,symmetric,,,,,4.5622214,MeV
165Ta,73,92,165,31,s,symmetric,,,,,4.2895617,MeV
163Ta,73,90,163,10.7,s,symmetric,,,,,4.7490593,MeV
181Ta,73,108,181,STABLE,,,,,,,1.5199228,MeV
180Ta,73,107,180,8.154,h,symmetric,,,,,2.0237865,MeV
182Ta,73,109,182,114.804,d,symmetric,,,,,1.48228,MeV
177Ta,73,104,177,56.56,h,symmetric,,,,,2.741353,MeV
176Ta,73,103,176,8.08,h,symmetric,,,,,2.9457807,MeV
179Ta,73,106,179,1.815,y,symmetric,,,,,2.3833065,MeV
178Ta,73,105,178,2.41,h,symmetric,,,,,2.547,MeV
173Ta,73,100,173,3.14,h,symmetric,,,,,3.2610680000000003,MeV
175Ta,73,102,175,10.5,h,symmetric,,,,,2.9948969,MeV
174Ta,73,101,174,1.08,h,symmetric,,,,,3.1405465,MeV
194Ta,73,121,194,,,,,,,,,
193Ta,73,120,193,,,,,,,,,
192Ta,73,119,192,2.2,s,symmetric,,,,,-1.705,MeV
191Ta,73,118,191,,,,,,,,-1.175,MeV
188Ta,73,115,188,19.6,s,symmetric,,,,,-0.035,MeV
187Ta,73,114,187,283,s,symmetric,,,,,0.3956483,MeV
190Ta,73,117,190,5.3,s,symmetric,,,,,-0.8250000000000001,MeV
189Ta,73,116,189,,,,,,,,-0.424,MeV
184Ta,73,111,184,8.7,h,symmetric,,,,,1.4121074000000002,MeV
183Ta,73,110,183,5.1,d,symmetric,,,,,1.3405506,MeV
186Ta,73,113,186,10.5,m,symmetric,,,,,0.738,MeV
